provider,protocol,sentence_class,ttfb_ms,total_ms,audio_bytes,text_length,success,error,round_num,playback_ms,protocol_label,run,sentence_order
macOS_Daniel,local,short,1428.42,3623.69,88410,26,True,,0,0.0,macOS Daniel,Run 1,0
macOS_Daniel,local,short,1861.15,4668.75,88410,26,True,,0,0.0,macOS Daniel,Run 1,0
macOS_Daniel,local,short,3786.05,6657.88,88410,26,True,,0,0.0,macOS Daniel,Run 1,0
macOS_Daniel,local,short,2696.81,5699.67,88410,26,True,,0,0.0,macOS Daniel,Run 1,0
macOS_Daniel,local,short,2480.13,4789.43,88410,26,True,,0,0.0,macOS Daniel,Run 1,0
macOS_Daniel,local,medium,3276.73,11800.43,267664,92,True,,0,0.0,macOS Daniel,Run 1,1
macOS_Daniel,local,medium,6021.54,13179.33,267664,92,True,,0,0.0,macOS Daniel,Run 1,1
macOS_Daniel,local,medium,2599.08,9427.19,267664,92,True,,0,0.0,macOS Daniel,Run 1,1
macOS_Daniel,local,medium,4307.59,11675.92,267664,92,True,,0,0.0,macOS Daniel,Run 1,1
macOS_Daniel,local,medium,17073.8,28611.13,267664,92,True,,0,0.0,macOS Daniel,Run 1,1
macOS_Daniel,local,long,9570.51,29618.82,851052,327,True,,0,0.0,macOS Daniel,Run 1,2
macOS_Daniel,local,long,4127.09,24300.8,851052,327,True,,0,0.0,macOS Daniel,Run 1,2
macOS_Daniel,local,long,1813.39,21470.27,851052,327,True,,0,0.0,macOS Daniel,Run 1,2
macOS_Daniel,local,long,1736.76,21912.16,851052,327,True,,0,0.0,macOS Daniel,Run 1,2
macOS_Daniel,local,long,2518.23,22925.83,851052,327,True,,0,0.0,macOS Daniel,Run 1,2
Voice.ai,http_stream,short,735.13,1089.6,25344,26,True,,0,0.0,Voice.ai HTTP Stream,Run 1,0
Voice.ai,http_stream,short,631.05,995.42,24768,26,True,,0,0.0,Voice.ai HTTP Stream,Run 1,0
Voice.ai,http_stream,short,603.34,1048.59,25920,26,True,,0,0.0,Voice.ai HTTP Stream,Run 1,0
